"Genome","Hours","Minutes","MirMachine","Seconds","Busco","difference"
"Aotus_nancymae",1,51,6660,31654,31654,4.75285285285285
"Balaenoptera_musculus",2,2,7320,26338,26338,3.59808743169399
"Bison_bison",1,46,6360,36752,36752,5.77861635220126
"Bos_grunniens",2,0,7200,36014,36014,5.00194444444444
"Bos_indicus",2,1,7260,29846,29846,4.11101928374656
"Bos_mutus",1,53,6780,31494,31494,4.64513274336283
"Bos_taurus",1,51,6660,29975,29975,4.50075075075075
"Camelus_dromedarius",1,58,7080,23198,23198,3.27655367231638
"Canis_lupus",1,36,5760,26363,26363,4.57690972222222
"Canis_lupus",1,36,5760,26895,26895,4.66927083333333
"Canis_lupus",1,43,6180,26363,26363,4.26585760517799
"Canis_lupus",1,43,6180,26895,26895,4.35194174757282
"Capra_hircus",1,45,6300,33214,33214,5.27206349206349
"Carlito_syrichta",2,6,7560,47904,47904,6.33650793650794
"Catagonus_wagneri",2,31,9060,25792,25792,2.84679911699779
"Cebus_capucinus",2,14,8040,29909,29909,3.72002487562189
"Cervus_hanglu",1,55,6900,29175,29175,4.22826086956522
"Dasypus_novemcinctus",1,50,6600,45687,45687,6.92227272727273
"Delphinapterus_leucas",2,34,9240,26347,26347,2.85140692640693
"Equus_asinus",2,20,8400,22476,22476,2.67571428571429
"Equus_caballus",1,41,6060,23444,23444,3.86864686468647
"Erinaceus_europaeus",1,49,6540,15348,15348,2.34678899082569
"Xenopus_tropicalis",2,9,7740,25865,25865,3.34173126614987
"Rhinopithicus_roxella",1,25,5100,33380,33380,6.54509803921569
"Xenopus_laevis",2,11,7860,43441,43441,5.52684478371501
"Rhinopithecus_bieti",2,16,8160,36744,36744,4.50294117647059
"Ovis_aries",2,33,9180,28301,28301,3.08289760348584
"Suricata_meerkat",2,36,9360,22708,22708,2.42606837606838
"Lynx_Canadensis",1,58,7080,24895,24895,3.51624293785311
"Ursus_thibetanus",1,58,7080,22860,22860,3.22881355932203
"Felis",1,46,6360,26495,26495,4.16588050314465
"Neogale_vision",2,14,8040,22533,22533,2.80261194029851
"Zalophus_californianusmZalCal1",1,41,6060,24395,24395,4.02557755775578
"Loxodonta_africana",2,59,10740,32150,32150,2.99348230912477
"Macaca_nemestrina",2,27,8820,43638,43638,4.94761904761905
"Mandrillus_leucophaeus",2,25,8700,32593,32593,3.74632183908046
"Mesocricetus_auratus",2,22,8520,31094,31094,3.64953051643192
"Microcebus_murinus",2,36,9360,25773,25773,2.75352564102564
"Monodelphis_domestica",1,46,6360,41935,41935,6.5935534591195
"Monodon_monoceros",2,45,9900,22793,22793,2.30232323232323
"Moschus_moschiferus",1,46,6360,29953,29953,4.70959119496855
"Mus_musculus",2,32,9120,28155,28155,3.08717105263158
"Mustela_putorius",2,19,8340,24508,24508,2.93860911270983
"Myotis_lucifugus",2,6,7560,29194,29194,3.86164021164021
"Notamacropus_eugenii",2,9,7740,52191,52191,6.74302325581395
"Ornithorhynchus_anatinus",2,36,9360,29522,29522,3.15405982905983
"Oryctolagus_cuniculus",1,50,6600,39129,39129,5.92863636363636
"Otolemur_garnettii",2,8,7680,27084,27084,3.5265625
"Ovis_aries",1,43,6180,28301,28301,4.5794498381877
"Panthera_leo",2,10,7800,25953,25953,3.32730769230769
"Panthera_pardus",1,43,6180,26459,26459,4.28139158576052
"Panthera_tigris",1,52,6720,32122,32122,4.78005952380952
"Phascolarctos_cinereus",1,49,6540,35478,35478,5.42477064220183
"Phocoena_sinus",2,33,9180,28481,28481,3.10250544662309
"Physeter_catodon",1,43,6180,32912,32912,5.32556634304207
"Procavia_capensis",2,16,8160,45680,45680,5.59803921568627
"Prolemur_simus",1,57,7020,24499,24499,3.48988603988604
"Propithecus_coquereli",1,43,6180,28233,28233,4.56844660194175
"Pteropus_vampyrus",1,50,6600,25570,25570,3.87424242424242
"Rattus_norvegicus",1,55,6900,27896,27896,4.04289855072464
"Saimiri_boliviensis",2,8,7680,28112,28112,3.66041666666667
"Sarcophilus_harrisii",1,56,6960,35429,35429,5.09037356321839
"Sorex_araneus",2,39,9540,38112,38112,3.99496855345912
"Sus_scrofa",1,52,6720,24493,24493,3.64479166666667
"Tupaia_belangeri",1,57,7020,46283,46283,6.59301994301994
"Tursiops_truncatus",2,25,8700,27539,27539,3.16540229885057
"Ursus_americanus",1,46,6360,40808,40808,6.41635220125786
"Ursus_maritimus",2,19,8340,26917,26917,3.22745803357314
"Vicugna_pacos",1,56,6960,36649,36649,5.26566091954023
"Vombatus_ursinus",2,22,8520,33891,33891,3.97781690140845
"Vulpes_vulpes",2,46,9960,22574,22574,2.26646586345382
