"species","GCA","analysis_node","filtered_microRNA_score","N50","BUSCO_filled","BUSCO_Score","MirMachine.version","Total.families.searched","miRNA.score","Model"
"Orius_laevigatus","GCA_018703685.1","Neoptera",53.23,104060,"C:89.9%[S:87.0%,D:2.9%],F:1.1%,M:9.0%,n:2510",89.9,"0.2.13",62,55.9322,"proto"
"Mimas_tiliae","GCA_905332985.1","Lepidoptera",71.64,17797476,"C:94.6%[S:92.4%,D:2.2%],F:2.4%,M:3.0%,n:5286",94.6,"0.2.13",67,77.4194,"proto"
"Tupaia_chinensis","GCA_033439345.1","Euarchontoglires",72.15,3217288,"C:94.2%[S:92.9%,D:1.3%],F:1.4%,M:4.4%,n:12692",94.2,"0.2.13",219,83.1579,"deutero"
"Cliona_orientalis","GCA_963930775.1","Demospongiae",0,1978494,"C:87.2%[S:85.0%,D:2.2%],F:3.9%,M:8.9%,n:954",87.2,"0.2.13",6,0,"combined"
"Homo_sapiens","GCA_042030055.1","Catarrhini",74.29,109442972,"C:95.7%[S:95.1%,D:0.6%],F:0.4%,M:3.9%,n:13780",95.7,"0.2.13",245,87.5,"deutero"
"Nibea_albiflora","GCA_014281875.1","Clupeocephala",85.09,4420150,"C:95.5%[S:92.5%,D:3.0%],F:1.8%,M:2.7%,n:3640",95.5,"0.2.13",114,96.0396,"deutero"
"Cerceris_rybyensis","GCA_910591515.1","Endopterygota",67.19,15223619,"C:90.8%[S:90.7%,D:0.1%],F:3.2%,M:6.0%,n:5991",90.8,"0.2.13",64,70.4918,"proto"
"Homo_sapiens","GCA_018505835.1","Catarrhini",74.29,20158908,"C:95.7%[S:95.3%,D:0.4%],F:0.2%,M:4.1%,n:13780",95.7,"0.2.13",245,87.5,"deutero"
"Anabas_testudineus","GCA_900324465.1","Clupeocephala",85.96,7055436,"C:96.8%[S:95.3%,D:1.5%],F:1.1%,M:2.1%,n:3640",96.8,"0.2.13",114,97.0297,"deutero"
"Polyommatus_icarus","GCA_937629555.1","Lepidoptera",73.13,1715259,"C:95.7%[S:94.5%,D:1.2%],F:0.9%,M:3.4%,n:5286",95.7,"0.2.13",67,79.0323,"proto"
"Gorilla_gorilla_gorilla","GCA_029281585.2","Catarrhini",82.04,150804130,"C:97.5%[S:96.5%,D:1.0%],F:1.1%,M:1.4%,n:12692",97.5,"0.2.13",245,96.6346,"deutero"
"Miniopterus_schreibersii","GCA_964146895.1","Laurasiatheria",73.27,2292542,"C:96.9%[S:96.2%,D:0.7%],F:1.1%,M:2.0%,n:12234",96.9,"0.2.13",217,83.6842,"deutero"
"Miniopterus_schreibersii","GCA_964146895.1","Laurasiatheria",73.27,2292542,"C:96.9%[S:96.2%,D:0.7%],F:1.1%,M:2.0%,n:12234",96.9,"0.2.13",217,83.6842,"deutero"
"Miniopterus_schreibersii","GCA_964146895.1","Laurasiatheria",73.27,2292542,"C:96.9%[S:96.2%,D:0.7%],F:1.1%,M:2.0%,n:12234",96.9,"0.2.13",217,83.6842,"deutero"
"Miniopterus_schreibersii","GCA_964146895.1","Laurasiatheria",73.27,2292542,"C:96.9%[S:96.2%,D:0.7%],F:1.1%,M:2.0%,n:12234",96.9,"0.2.13",217,83.6842,"deutero"
"Lysandra_bellargus","GCA_905333045.1","Lepidoptera",71.64,2881691,"C:95.6%[S:94.9%,D:0.7%],F:0.9%,M:3.5%,n:5286",95.6,"0.2.13",67,77.4194,"proto"
"Polydrusus_tereticollis","GCA_963920685.1","Endopterygota",76.56,4992693,"C:96.3%[S:95.2%,D:1.1%],F:1.6%,M:2.1%,n:2124",96.3,"0.2.13",64,80.3279,"proto"
"Panzeria_rudis","GCA_956483635.1","Diptera",65.67,1593398,"C:93.3%[S:85.6%,D:7.7%],F:3.9%,M:2.8%,n:3285",93.3,"0.2.13",67,70.9677,"proto"
"Atethmia_centrago","GCA_905332945.1","Lepidoptera",68.66,170690,"C:86.9%[S:83.5%,D:3.4%],F:4.6%,M:8.5%,n:5286",86.9,"0.2.13",67,74.1935,"proto"
"Ovis_aries","GCA_022416725.1","Laurasiatheria",77.88,64464110,"C:96.6%[S:94.9%,D:1.7%],F:1.1%,M:2.3%,n:12234",96.6,"0.2.13",217,88.9474,"deutero"
"Aporophyla_lueneburgensis","GCA_932294405.1","Lepidoptera",65.67,1233955,"C:90.8%[S:89.8%,D:1.0%],F:1.4%,M:7.8%,n:5286",90.8,"0.2.13",67,70.9677,"proto"
"Pongo_abelii","GCA_002880775.3","Catarrhini",83.27,11074009,"C:96.6%[S:95.9%,D:0.7%],F:0.6%,M:2.8%,n:13780",96.6,"0.2.13",245,98.0769,"deutero"
"Microctonus_aethiopoides","GCA_030272935.1","Endopterygota",67.19,18731,"C:88.4%[S:87.9%,D:0.5%],F:4.3%,M:7.3%,n:5991",88.4,"0.2.13",64,70.4918,"proto"
"Biston_betularia","GCA_905404145.1","Lepidoptera",74.63,14013682,"C:96.3%[S:95.9%,D:0.4%],F:1.0%,M:2.7%,n:5286",96.3,"0.2.13",67,80.6452,"proto"
"Melitaea_cinxia","GCA_905220565.1","Lepidoptera",77.61,7977876,"C:95.8%[S:95.3%,D:0.5%],F:0.8%,M:3.4%,n:5286",95.8,"0.2.13",67,83.871,"proto"
"Elysia_crispata","GCA_963854125.1","Mollusca",48.08,67000,"C:77.2%[S:76.0%,D:1.2%],F:2.6%,M:20.2%,n:5295",77.2,"0.2.13",52,48.0769,"proto"
"Plotosus_lineatus","GCA_024760905.1","Clupeocephala",76.32,36883020,"C:95.2%[S:93.5%,D:1.7%],F:1.2%,M:3.6%,n:3640",95.2,"0.2.13",114,86.1386,"deutero"
"Labeo_rohita","GCA_022985175.1","Clupeocephala",83.33,1265157,"C:94.4%[S:93.1%,D:1.3%],F:1.4%,M:4.2%,n:3640",94.4,"0.2.13",114,94.0594,"deutero"
"Anorthoa_munda","GCA_945859665.1","Lepidoptera",71.64,14168957,"C:93.8%[S:90.8%,D:3.0%],F:3.0%,M:3.2%,n:5286",93.8,"0.2.13",67,77.4194,"proto"
"Scortum_barcoo","GCA_023238725.1","Clupeocephala",85.96,4248160,"C:94.6%[S:92.6%,D:2.0%],F:2.4%,M:3.0%,n:3640",94.6,"0.2.13",114,97.0297,"deutero"
"Syrphus_vitripennis","GCA_958431115.1","Diptera",76.12,2171258,"C:95.2%[S:94.2%,D:1.0%],F:1.2%,M:3.6%,n:3285",95.2,"0.2.13",67,82.2581,"proto"
"Alucita_hexadactyla","GCA_964059475.1","Lepidoptera",70.15,11547540,"C:92.8%[S:91.7%,D:1.1%],F:2.1%,M:5.1%,n:5286",92.8,"0.2.13",67,75.8065,"proto"
"Pieris_rapae","GCA_905147795.1","Lepidoptera",68.66,10651053,"C:92.9%[S:92.4%,D:0.5%],F:0.5%,M:6.6%,n:5286",92.9,"0.2.13",67,74.1935,"proto"
